Epoch,ScalVis_DataProcCombine_RecL10N1024loss,ScalVis_GausVisS:1.0_RecL10N1024loss,ScalVis_DataProcCombGaus_RecL10N1024loss,ScalVis_ProcWithVis_RecL10N1024loss
1,0.6937152147293091,0.6929200291633606,0.6932260394096375,0.6932249665260315
2,0.6913455724716187,0.6835998296737671,0.6908886432647705,0.690672755241394
3,0.689473569393158,0.6761171817779541,0.6888012290000916,0.6884360909461975
4,0.6875506043434143,0.667688250541687,0.6865228414535522,0.6861218214035034
5,0.6853083968162537,0.6576740741729736,0.6838852167129517,0.6834557056427002
6,0.682641327381134,0.645777702331543,0.6807454228401184,0.680163562297821
7,0.6793665289878845,0.6319276690483093,0.6769792437553406,0.6761074662208557
8,0.6753544807434082,0.6162750124931335,0.6724473237991333,0.6711561679840088
9,0.6705105900764465,0.5995211601257324,0.6670446991920471,0.6652120351791382
10,0.6647264957427979,0.5829203128814697,0.660687267780304,0.6581183671951294
11,0.6578357815742493,0.5680257678031921,0.6532806158065796,0.6497176885604858
12,0.649659276008606,0.5566696524620056,0.6447431445121765,0.6399328112602234
13,0.6400693655014038,0.5497313737869263,0.6349915862083435,0.6287060976028442
14,0.6290103197097778,0.5459912419319153,0.6240679621696472,0.6160362362861633
15,0.6165477633476257,0.54252690076828,0.612069308757782,0.602042555809021
16,0.6028479337692261,0.5373351573944092,0.5991499423980713,0.5869658589363098
17,0.5881677865982056,0.5308048725128174,0.58559650182724,0.571199357509613
18,0.5728854537010193,0.525198757648468,0.571744441986084,0.5553827285766602
19,0.5575793385505676,0.5228257179260254,0.5579699873924255,0.5402779579162598
20,0.5428522229194641,0.522580087184906,0.5445960760116577,0.5266717672348022
21,0.5292398929595947,0.5196893215179443,0.5318750739097595,0.5149252414703369
22,0.5170610547065735,0.5145481824874878,0.5201594829559326,0.5048355460166931
23,0.5064440369606018,0.5110068917274475,0.5097251534461975,0.49559125304222107
24,0.49716857075691223,0.5095478892326355,0.5007236003875732,0.48729783296585083
25,0.4888564348220825,0.5071516633033752,0.49310073256492615,0.4806942343711853
26,0.4816410541534424,0.5025603175163269,0.48654794692993164,0.4747215509414673
27,0.47539761662483215,0.4983445703983307,0.48086223006248474,0.469727486371994
28,0.46990635991096497,0.4972323179244995,0.47585535049438477,0.4667632579803467
29,0.46598535776138306,0.49314048886299133,0.47141680121421814,0.46416109800338745
30,0.4626677930355072,0.4886096715927124,0.467417448759079,0.4624820053577423
31,0.4601651430130005,0.48713430762290955,0.46393099427223206,0.45952826738357544
32,0.4575144350528717,0.4836259186267853,0.4609600305557251,0.45614323019981384
33,0.454844206571579,0.48023101687431335,0.4584231674671173,0.45103102922439575
34,0.4513983130455017,0.47967252135276794,0.4560730457305908,0.4456131160259247
35,0.44746488332748413,0.4755840599536896,0.45366406440734863,0.43956926465034485
36,0.4423890709877014,0.474944531917572,0.4509113132953644,0.43446043133735657
37,0.43707311153411865,0.471627414226532,0.44775620102882385,0.4299319088459015
38,0.43141254782676697,0.4697219133377075,0.44425931572914124,0.42675507068634033
39,0.42612579464912415,0.4663504362106323,0.44051745533943176,0.4239295721054077
40,0.42155584692955017,0.46368956565856934,0.4367505609989166,0.42022278904914856
41,0.41753873229026794,0.46042126417160034,0.43309053778648376,0.41551724076271057
42,0.4140460789203644,0.45737650990486145,0.42962852120399475,0.40966689586639404
43,0.4103226661682129,0.45413917303085327,0.42641621828079224,0.40340203046798706
44,0.40596622228622437,0.4514552056789398,0.4233447313308716,0.3974941074848175
45,0.40088871121406555,0.4479949474334717,0.4202103912830353,0.392434298992157
46,0.3952573835849762,0.4456004202365875,0.4168294370174408,0.3879508972167969
47,0.38960278034210205,0.4416138529777527,0.41307568550109863,0.38363853096961975
48,0.3844585418701172,0.4387149214744568,0.4089333415031433,0.380715012550354
49,0.380476176738739,0.4355151355266571,0.40448886156082153,0.3811751902103424
50,0.37817123532295227,0.431627482175827,0.3998273015022278,0.37166446447372437
51,0.3747652769088745,0.42826494574546814,0.3948991298675537,0.36503538489341736
52,0.36858147382736206,0.4255129396915436,0.38961732387542725,0.36673831939697266
53,0.36303356289863586,0.4235915541648865,0.38398393988609314,0.3590841591358185
54,0.36242061853408813,0.419504314661026,0.3782934546470642,0.35472095012664795
55,0.36140602827072144,0.416011244058609,0.37327146530151367,0.3546164631843567
56,0.35384640097618103,0.4117313027381897,0.37071922421455383,0.34696462750434875
