Epoch,CatVis_ProcWithVis_RecL10N1024loss,CatVis_ProcWithVis_RecL5N2048loss,CatVis_ProcWithVis_RecL2N4096loss,CatVis_ProcWithVis_RecL20N512loss
1,0.6922623515129089,0.69553142786026,0.700509250164032,0.6931830644607544
2,0.6896535158157349,0.6773341298103333,0.6650002598762512,0.6929997205734253
3,0.687142550945282,0.6617684364318848,0.636648952960968,0.6928444504737854
4,0.6842897534370422,0.647733211517334,0.6142314076423645,0.6926813721656799
5,0.6808333992958069,0.6344528794288635,0.5960686206817627,0.6925023794174194
6,0.6766336560249329,0.621378481388092,0.5806686878204346,0.6923058032989502
7,0.6715427041053772,0.608045220375061,0.5668466687202454,0.6920883655548096
8,0.6654317378997803,0.594082772731781,0.5537573099136353,0.6918455958366394
9,0.6582260131835938,0.5791388750076294,0.5409814715385437,0.6915726661682129
10,0.6498689651489258,0.5630199909210205,0.5284296870231628,0.6912619471549988
11,0.6403351426124573,0.5458354353904724,0.5162376761436462,0.6909046173095703
12,0.6296791434288025,0.5281910300254822,0.5046823024749756,0.6904868483543396
13,0.6180375814437866,0.510867714881897,0.4940418601036072,0.6899952292442322
14,0.605664074420929,0.4943945109844208,0.48448315262794495,0.6894117593765259
15,0.5928477048873901,0.47890087962150574,0.4760439395904541,0.6887093782424927
16,0.5798253417015076,0.46444934606552124,0.46857088804244995,0.6878563165664673
17,0.5666964054107666,0.4515404999256134,0.4617973566055298,0.6868137717247009
18,0.5534868836402893,0.4410577118396759,0.4554699659347534,0.6855331659317017
19,0.5403042435646057,0.4333372712135315,0.4494069218635559,0.6839556694030762
20,0.5276846885681152,0.42748239636421204,0.4435900151729584,0.6820092797279358
21,0.516154944896698,0.42241817712783813,0.4381082057952881,0.6796066761016846
22,0.5057410001754761,0.4175873100757599,0.43309494853019714,0.676635205745697
23,0.4963569641113281,0.41220611333847046,0.42863690853118896,0.6729693412780762
24,0.48806625604629517,0.40558165311813354,0.4247347414493561,0.6684677004814148
25,0.48046308755874634,0.3981146812438965,0.4212917685508728,0.662964940071106
26,0.4725222885608673,0.39051294326782227,0.41814351081848145,0.6562909483909607
27,0.46368664503097534,0.3831372857093811,0.4151404798030853,0.6482833027839661
28,0.45397016406059265,0.3765907883644104,0.41220325231552124,0.6387997269630432
29,0.4432758092880249,0.3711242973804474,0.40932199358940125,0.6278122067451477
30,0.43175846338272095,0.3661609888076782,0.4065394401550293,0.6154325008392334
31,0.42049291729927063,0.3616145849227905,0.40390029549598694,0.6019391417503357
32,0.40955156087875366,0.35690760612487793,0.40140876173973083,0.587966799736023
33,0.39957720041275024,0.35167428851127625,0.3990282714366913,0.5744551420211792
34,0.3899989128112793,0.3460489809513092,0.3966887295246124,0.5622817873954773
35,0.381136953830719,0.3399863541126251,0.39433011412620544,0.5517841577529907
36,0.37240585684776306,0.33401283621788025,0.3919321894645691,0.5429466366767883
37,0.3635800778865814,0.32816582918167114,0.38951826095581055,0.5358777046203613
38,0.3550264239311218,0.3226648271083832,0.3871272802352905,0.5305251479148865
39,0.3468118906021118,0.3171267509460449,0.3847930431365967,0.5263314247131348
40,0.33885401487350464,0.3114617168903351,0.3825228810310364,0.5225767493247986
