Epoch,ScalVis_GausCosS:1.0_RecL10N1024VS0.1loss,ScalVis_GausVisS:1.0_RecL10N1024VS0.1loss
1,0.6960068345069885,0.6903804540634155
2,0.6903465390205383,0.6878508925437927
3,0.6854182481765747,0.6854944229125977
4,0.6809155941009521,0.6832903027534485
5,0.6769762635231018,0.6812013387680054
6,0.6732667684555054,0.6791923642158508
7,0.6696638464927673,0.6771838665008545
8,0.6661568284034729,0.6750811338424683
9,0.6626406908035278,0.6729036569595337
10,0.659063458442688,0.6706606149673462
11,0.6553552746772766,0.6683126091957092
12,0.6515310406684875,0.6658658981323242
13,0.647577166557312,0.6633462905883789
14,0.6435005068778992,0.6607348918914795
15,0.6393269300460815,0.6580174565315247
16,0.6350659132003784,0.6551850438117981
17,0.630707859992981,0.652241587638855
18,0.6262279152870178,0.6491732001304626
19,0.6216195821762085,0.6459715366363525
20,0.6169092059135437,0.642633318901062
21,0.612097978591919,0.6391551494598389
22,0.607187807559967,0.6355546116828918
23,0.6022359728813171,0.6318302750587463
24,0.5972466468811035,0.627974808216095
25,0.592223584651947,0.6239834427833557
26,0.5872139930725098,0.6198707818984985
27,0.5822133421897888,0.6156444549560547
28,0.5772534012794495,0.6113201379776001
29,0.5723430514335632,0.6069036722183228
30,0.5674921870231628,0.6024075150489807
31,0.5627173781394958,0.5978414416313171
32,0.5580286383628845,0.5932334661483765
33,0.553442656993866,0.5886130332946777
34,0.5489860773086548,0.5840119123458862
35,0.5446600914001465,0.5794483423233032
36,0.5404568314552307,0.5749534964561462
37,0.5363753437995911,0.5705641508102417
38,0.5324224233627319,0.5663098096847534
39,0.528624415397644,0.5622148513793945
40,0.5249751210212708,0.5583018064498901
41,0.5214586853981018,0.5545852184295654
42,0.5180835127830505,0.5510929226875305
43,0.5148342847824097,0.54783695936203
44,0.5117269158363342,0.544833242893219
45,0.5087787508964539,0.5420806407928467
46,0.5059927105903625,0.5395798087120056
47,0.5033449530601501,0.537325382232666
48,0.5008465051651001,0.5353052616119385
49,0.4985169768333435,0.5335001349449158
