Epoch,ScalVis_DataProcCombine_RecL10N1024accuracy,ScalVis_GausVisS:1.0_RecL10N1024accuracy,ScalVis_DataProcCombGaus_RecL10N1024accuracy,ScalVis_ProcWithVis_RecL10N1024accuracy
1,0.3845193386077881,0.5617977380752563,0.41448190808296204,0.3982521891593933
2,0.6279650330543518,0.6154806613922119,0.6154806613922119,0.6154806613922119
3,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
4,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
5,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
6,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
7,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
8,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
9,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
10,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
11,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
12,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
13,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6167290806770325
14,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6329588294029236
15,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.641697883605957
16,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6679151058197021
17,0.6204743981361389,0.6154806613922119,0.6154806613922119,0.6941323280334473
18,0.6441947817802429,0.6204743981361389,0.6154806613922119,0.7053682804107666
19,0.6841447949409485,0.7915105819702148,0.6354556679725647,0.7215980291366577
20,0.7103620767593384,0.7890137434005737,0.6828963756561279,0.7665418386459351
21,0.7353308200836182,0.7902621626853943,0.7340824007987976,0.7990012764930725
22,0.7865168452262878,0.7902621626853943,0.7465667724609375,0.7940074801445007
23,0.7977527976036072,0.7902621626853943,0.774032473564148,0.7927590608596802
24,0.7915105819702148,0.7915105819702148,0.7902621626853943,0.7952559590339661
25,0.7965043783187866,0.7952559590339661,0.7965043783187866,0.8002496957778931
26,0.8052434325218201,0.7952559590339661,0.7990012764930725,0.8014981150627136
27,0.807740330696106,0.7990012764930725,0.8064919114112854,0.807740330696106
28,0.8064919114112854,0.8014981150627136,0.8089887499809265,0.8064919114112854
29,0.8089887499809265,0.8002496957778931,0.8064919114112854,0.802746593952179
30,0.8039950132369995,0.7952559590339661,0.8139825463294983,0.8089887499809265
31,0.807740330696106,0.8002496957778931,0.8114856481552124,0.807740330696106
32,0.8152309656143188,0.7977527976036072,0.8089887499809265,0.8102372288703918
33,0.8164793848991394,0.7965043783187866,0.812734067440033,0.8089887499809265
34,0.8189762830734253,0.807740330696106,0.8064919114112854,0.8139825463294983
35,0.8202247023582458,0.8052434325218201,0.8064919114112854,0.8102372288703918
36,0.8089887499809265,0.7977527976036072,0.8064919114112854,0.8102372288703918
37,0.8139825463294983,0.802746593952179,0.807740330696106,0.812734067440033
38,0.8152309656143188,0.8089887499809265,0.8114856481552124,0.8164793848991394
39,0.8177278637886047,0.812734067440033,0.8089887499809265,0.8152309656143188
40,0.8189762830734253,0.8139825463294983,0.8089887499809265,0.8277153372764587
41,0.8327091336250305,0.8152309656143188,0.8152309656143188,0.8277153372764587
42,0.8327091336250305,0.8164793848991394,0.8177278637886047,0.8327091336250305
43,0.8302122354507446,0.8152309656143188,0.8202247023582458,0.8302122354507446
44,0.8264669179916382,0.8139825463294983,0.8227216005325317,0.8339575529098511
45,0.8302122354507446,0.812734067440033,0.8214731812477112,0.8327091336250305
46,0.8339575529098511,0.8152309656143188,0.8277153372764587,0.8389512896537781
47,0.8389512896537781,0.812734067440033,0.8264669179916382,0.8389512896537781
48,0.8451935052871704,0.8114856481552124,0.8302122354507446,0.8389512896537781
49,0.8339575529098511,0.8177278637886047,0.8302122354507446,0.8489388227462769
50,0.8476904034614563,0.8164793848991394,0.8327091336250305,0.8501872420310974
51,0.841448187828064,0.8177278637886047,0.8327091336250305,0.8551810383796692
52,0.8489388227462769,0.8202247023582458,0.8389512896537781,0.8564294576644897
