Epoch,ScalVis_GausVisS:1.0_RecL10N1024VS0.75accuracy,ScalVis_GausVisS:1.0_RecL10N1024VS0.5accuracy,ScalVis_GausVisS:1.0_RecL10N1024VS0.25accuracy,ScalVis_GausVisS:1.0_RecL10N1024VS0.1accuracy,ScalVis_GausVisS:1.0_RecL10N1024VS0.95accuracy
1,0.3513513505458832,0.516853928565979,0.38772454857826233,0.6217228174209595,0.40909090638160706
2,0.6486486196517944,0.6089887619018555,0.6107784509658813,0.6154806613922119,0.5454545617103577
3,0.6486486196517944,0.6089887619018555,0.6107784509658813,0.6154806613922119,0.5454545617103577
4,0.6486486196517944,0.6089887619018555,0.6107784509658813,0.6154806613922119,0.5454545617103577
5,0.6486486196517944,0.6089887619018555,0.6107784509658813,0.6154806613922119,0.5454545617103577
6,0.6486486196517944,0.6089887619018555,0.6107784509658813,0.6154806613922119,0.5454545617103577
7,0.6486486196517944,0.6089887619018555,0.6107784509658813,0.6154806613922119,0.5454545617103577
8,0.6486486196517944,0.6089887619018555,0.6107784509658813,0.6154806613922119,0.5454545617103577
9,0.6486486196517944,0.6089887619018555,0.6107784509658813,0.6154806613922119,0.5454545617103577
10,0.6486486196517944,0.6089887619018555,0.6107784509658813,0.6154806613922119,0.5454545617103577
11,0.6486486196517944,0.6089887619018555,0.6107784509658813,0.6154806613922119,0.5454545617103577
12,0.6486486196517944,0.6089887619018555,0.6107784509658813,0.6154806613922119,0.5454545617103577
13,0.6486486196517944,0.6089887619018555,0.6107784509658813,0.6154806613922119,0.5454545617103577
14,0.6486486196517944,0.6089887619018555,0.6107784509658813,0.6154806613922119,0.6136363744735718
15,0.6486486196517944,0.6089887619018555,0.6107784509658813,0.6154806613922119,0.7045454382896423
16,0.6486486196517944,0.6089887619018555,0.6107784509658813,0.6154806613922119,0.7727272510528564
17,0.6486486196517944,0.6943820118904114,0.6107784509658813,0.6154806613922119,0.8863636255264282
18,0.6486486196517944,0.800000011920929,0.6107784509658813,0.7915105819702148,0.8636363744735718
19,0.6486486196517944,0.800000011920929,0.6152694821357727,0.7890137434005737,0.8636363744735718
20,0.6936936974525452,0.800000011920929,0.7859281301498413,0.7915105819702148,0.8636363744735718
21,0.792792797088623,0.800000011920929,0.78742516040802,0.7915105819702148,0.8863636255264282
22,0.8063063025474548,0.800000011920929,0.78742516040802,0.7952559590339661,0.9090909361839294
23,0.8063063025474548,0.800000011920929,0.78742516040802,0.7952559590339661,0.9090909361839294
24,0.8063063025474548,0.800000011920929,0.78742516040802,0.7965043783187866,0.9090909361839294
25,0.8063063025474548,0.8044943809509277,0.788922131061554,0.7965043783187866,0.9090909361839294
26,0.8063063025474548,0.8067415952682495,0.7919161915779114,0.7952559590339661,0.9090909361839294
27,0.8063063025474548,0.8112359642982483,0.7919161915779114,0.7977527976036072,0.9090909361839294
28,0.8063063025474548,0.8112359642982483,0.7934131622314453,0.7990012764930725,0.9090909361839294
29,0.8108108043670654,0.8112359642982483,0.796407163143158,0.7965043783187866,0.9318181872367859
30,0.8243243098258972,0.8112359642982483,0.7934131622314453,0.7990012764930725,0.9318181872367859
31,0.8243243098258972,0.8112359642982483,0.794910192489624,0.7977527976036072,0.9318181872367859
32,0.8243243098258972,0.8112359642982483,0.796407163143158,0.7990012764930725,0.9318181872367859
33,0.8243243098258972,0.8112359642982483,0.796407163143158,0.8014981150627136,0.9318181872367859
34,0.8243243098258972,0.8112359642982483,0.796407163143158,0.7990012764930725,0.9090909361839294
35,0.8243243098258972,0.8112359642982483,0.8008981943130493,0.8089887499809265,0.9318181872367859
36,0.8243243098258972,0.8112359642982483,0.794910192489624,0.8089887499809265,0.9090909361839294
37,0.8243243098258972,0.8089887499809265,0.8008981943130493,0.8139825463294983,0.9318181872367859
38,0.8243243098258972,0.8112359642982483,0.7979041934013367,0.8164793848991394,0.9318181872367859
39,0.8243243098258972,0.8112359642982483,0.7979041934013367,0.8102372288703918,0.9318181872367859
40,0.8243243098258972,0.8112359642982483,0.7994012236595154,0.8102372288703918,0.9318181872367859
41,0.8243243098258972,0.8134831190109253,0.7994012236595154,0.8114856481552124,0.9090909361839294
42,0.8243243098258972,0.8134831190109253,0.7994012236595154,0.8102372288703918,0.9545454382896423
43,0.8243243098258972,0.8157303333282471,0.7994012236595154,0.8114856481552124,0.9090909361839294
44,0.8243243098258972,0.8157303333282471,0.7994012236595154,0.812734067440033,0.9545454382896423
45,0.8243243098258972,0.8157303333282471,0.802395224571228,0.8202247023582458,0.9318181872367859
46,0.8288288116455078,0.8157303333282471,0.7994012236595154,0.8114856481552124,0.9318181872367859
47,0.8333333134651184,0.8134831190109253,0.7994012236595154,0.8177278637886047,0.9545454382896423
48,0.8333333134651184,0.8134831190109253,0.8083832263946533,0.8177278637886047,0.9545454382896423
49,0.8333333134651184,0.8157303333282471,0.8083832263946533,0.8164793848991394,0.9545454382896423
50,0.8333333134651184,0.8157303333282471,0.8083832263946533,0.8227216005325317,0.9318181872367859
51,0.8333333134651184,0.8134831190109253,0.8068862557411194,0.8202247023582458,0.9545454382896423
52,0.8333333134651184,0.8157303333282471,0.8083832263946533,0.8189762830734253,0.9545454382896423
53,0.8333333134651184,0.8157303333282471,0.8068862557411194,0.8214731812477112,0.9772727489471436
54,0.8423423171043396,0.8179775476455688,0.8083832263946533,0.8227216005325317,0.9545454382896423
55,0.8333333134651184,0.8247190713882446,0.811377227306366,0.8239700198173523,0.9545454382896423
56,0.8333333134651184,0.8224719166755676,0.8083832263946533,0.8252184987068176,0.9545454382896423
57,0.8333333134651184,0.8247190713882446,0.8128742575645447,0.8227216005325317,0.9545454382896423
58,0.8198198080062866,0.8247190713882446,0.8143712282180786,0.8277153372764587,0.9545454382896423
