Epoch,CatVis_ProcWithVis_RecL10N1024val_loss,CatVis_ProcWithVis_RecL5N2048val_loss,CatVis_ProcWithVis_RecL2N4096val_loss,CatVis_ProcWithVis_RecL20N512val_loss
1,0.6892439723014832,0.6765353083610535,0.6630392670631409,0.6929938197135925
2,0.686432421207428,0.6597574949264526,0.6314138174057007,0.6928290724754333
3,0.6832304000854492,0.644499659538269,0.6059831976890564,0.692655622959137
4,0.6793431639671326,0.6297949552536011,0.5851070880889893,0.6924663782119751
5,0.6746305823326111,0.6151253581047058,0.5673404932022095,0.6922590732574463
6,0.6688832640647888,0.6002369523048401,0.5514604449272156,0.6920285820960999
7,0.6619688868522644,0.584840714931488,0.5366575717926025,0.6917723417282104
8,0.653781533241272,0.5686314702033997,0.5225018262863159,0.6914834976196289
9,0.6442524194717407,0.5515012741088867,0.508944034576416,0.6911547780036926
10,0.6333863735198975,0.533704400062561,0.49611344933509827,0.690777063369751
11,0.6212033629417419,0.5157092809677124,0.4842481315135956,0.6903359889984131
12,0.607833981513977,0.49844932556152344,0.4735860228538513,0.6898167133331299
13,0.5935730934143066,0.48253390192985535,0.4642154276371002,0.6891986131668091
14,0.5788368582725525,0.4680129885673523,0.4561314880847931,0.6884551644325256
15,0.563995897769928,0.45512109994888306,0.44914066791534424,0.6875514388084412
16,0.5494602918624878,0.44441211223602295,0.44297531247138977,0.6864455342292786
17,0.5354705452919006,0.4366864860057831,0.43738362193107605,0.6850858330726624
18,0.5221810936927795,0.4323040544986725,0.4321569800376892,0.6834121942520142
19,0.5101843476295471,0.4301822781562805,0.42726877331733704,0.6813487410545349
20,0.4999365508556366,0.4289425015449524,0.42278292775154114,0.6787974238395691
21,0.4913009703159332,0.42779740691185,0.4188230633735657,0.6756437420845032
22,0.4840783476829529,0.4257531762123108,0.41546130180358887,0.6717469096183777
23,0.478532075881958,0.4219226837158203,0.41269731521606445,0.6669555306434631
24,0.4742337167263031,0.41643762588500977,0.4104510545730591,0.6610912084579468
25,0.46972405910491943,0.4103267788887024,0.40856775641441345,0.6539726853370667
26,0.4642036557197571,0.40457022190093994,0.4069109559059143,0.6454198360443115
27,0.45797199010849,0.40010732412338257,0.4053966999053955,0.6352800726890564
28,0.4510749876499176,0.39666634798049927,0.40398895740509033,0.6235247850418091
29,0.4430583119392395,0.3929787576198578,0.40270742774009705,0.6102810502052307
30,0.43401384353637695,0.3893561065196991,0.40157371759414673,0.5958496332168579
31,0.424919456243515,0.3865779936313629,0.40055978298187256,0.5809522867202759
32,0.41705551743507385,0.38472768664360046,0.39959716796875,0.5667139887809753
33,0.40778735280036926,0.38259780406951904,0.3986077308654785,0.5541476607322693
34,0.3994217813014984,0.3788813650608063,0.3975066840648651,0.5440517663955688
35,0.3950452208518982,0.3755783438682556,0.3962647318840027,0.5364750623703003
36,0.3869704008102417,0.3746027946472168,0.39490941166877747,0.5314285755157471
37,0.3831639289855957,0.3748924136161804,0.39349713921546936,0.5280424356460571
38,0.37912487983703613,0.3734111487865448,0.3920917212963104,0.5255783796310425
39,0.37518760561943054,0.37166354060173035,0.39074355363845825,0.523535430431366
40,0.37843042612075806,0.3720390200614929,0.389473557472229,0.5209342837333679
