Epoch,ScalVis_ProcWithVis_RecL10N1024,CatVis_ProcWithVis_RecL10N512,CatVis_ProcWithVis_RecL10N1024,ScalVis_ProcWithVis_RecL10N512
1,0.617977499961853,0.6154806613922119,0.3770287036895752,0.6167290806770325
2,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
3,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
4,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
5,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
6,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
7,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
8,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
9,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
10,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
11,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
12,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
13,0.6292135119438171,0.6154806613922119,0.6154806613922119,0.6154806613922119
14,0.646691620349884,0.6154806613922119,0.6154806613922119,0.6154806613922119
15,0.6766541600227356,0.6154806613922119,0.6154806613922119,0.6154806613922119
16,0.709113597869873,0.6154806613922119,0.6154806613922119,0.6154806613922119
17,0.7290886640548706,0.6154806613922119,0.6154806613922119,0.6154806613922119
18,0.7490636706352234,0.6154806613922119,0.6154806613922119,0.6154806613922119
19,0.8002496957778931,0.6154806613922119,0.6529338359832764,0.6154806613922119
20,0.7952559590339661,0.6154806613922119,0.7128589153289795,0.6154806613922119
21,0.7902621626853943,0.6154806613922119,0.7640449404716492,0.6154806613922119
22,0.7952559590339661,0.6154806613922119,0.802746593952179,0.6154806613922119
23,0.7990012764930725,0.6154806613922119,0.8139825463294983,0.6154806613922119
24,0.8014981150627136,0.6154806613922119,0.8189762830734253,0.6154806613922119
25,0.8002496957778931,0.6154806613922119,0.8252184987068176,0.6154806613922119
26,0.8039950132369995,0.6154806613922119,0.8252184987068176,0.6154806613922119
27,0.8102372288703918,0.6154806613922119,0.8252184987068176,0.6154806613922119
28,0.8177278637886047,0.6154806613922119,0.8264669179916382,0.6154806613922119
29,0.8039950132369995,0.6154806613922119,0.8352059721946716,0.6304619312286377
30,0.8052434325218201,0.6154806613922119,0.8389512896537781,0.6616728901863098
31,0.8177278637886047,0.6154806613922119,0.8451935052871704,0.7016229629516602
32,0.8202247023582458,0.6342072486877441,0.846441924571991,0.7203495502471924
33,0.8202247023582458,0.6953807473182678,0.8451935052871704,0.7602996230125427
34,0.8189762830734253,0.7440699338912964,0.8401997685432434,0.774032473564148
35,0.8189762830734253,0.7690386772155762,0.8401997685432434,0.7815231084823608
36,0.8152309656143188,0.7777777910232544,0.8439450860023499,0.7890137434005737
37,0.8189762830734253,0.7902621626853943,0.8514357209205627,0.7902621626853943
38,0.8152309656143188,0.812734067440033,0.8601747751235962,0.7965043783187866
39,0.8139825463294983,0.8102372288703918,0.870162308216095,0.8002496957778931
40,0.8189762830734253,0.8152309656143188,0.870162308216095,0.7990012764930725
