Epoch,1ValAcc,2ValAcc,3ValAcc,4ValAcc,5ValAcc,6ValAcc,7ValAcc,8ValAcc
0,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6555555462837219,0.6222222447395325
1,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325
2,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325
3,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325
4,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325
5,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325
6,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325
7,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6333333253860474,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6555555462837219
8,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6666666865348816,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.7111111283302307
9,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.7333333492279053,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.7777777910232544
10,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.7666666507720947,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.8111110925674438
11,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.800000011920929,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.8444444537162781
12,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.7555555701255798,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.8222222328186035
13,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.7666666507720947,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.800000011920929
14,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.7777777910232544,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.800000011920929
15,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.7777777910232544,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.8111110925674438
16,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.7888888716697693,0.6222222447395325,0.6222222447395325,0.6333333253860474,0.800000011920929
17,0.6222222447395325,0.6222222447395325,0.7111111283302307,0.7888888716697693,0.6222222447395325,0.6222222447395325,0.6888889074325562,0.800000011920929
18,0.6222222447395325,0.6222222447395325,0.7444444298744202,0.800000011920929,0.6222222447395325,0.6222222447395325,0.7222222089767456,0.800000011920929
