Epoch,CatVis_ProcWithVis_RecL10N1024,CatVis_ProcWithVis_RecL5N2048,CatVis_ProcWithVis_RecL2N4096,CatVis_ProcWithVis_RecL20N512
1,0.48189762234687805,0.5680399537086487,0.5705368518829346,0.6204743981361389
2,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
3,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
4,0.6154806613922119,0.6154806613922119,0.6229712963104248,0.6154806613922119
5,0.6154806613922119,0.6154806613922119,0.6454432010650635,0.6154806613922119
6,0.6154806613922119,0.6154806613922119,0.6741573214530945,0.6154806613922119
7,0.6154806613922119,0.6154806613922119,0.6928839087486267,0.6154806613922119
8,0.6154806613922119,0.617977499961853,0.7128589153289795,0.6154806613922119
9,0.6154806613922119,0.6516854166984558,0.7365792989730835,0.6154806613922119
10,0.6154806613922119,0.6991260647773743,0.7490636706352234,0.6154806613922119
11,0.6154806613922119,0.7415730357170105,0.7715355753898621,0.6154806613922119
12,0.6154806613922119,0.7765293121337891,0.7865168452262878,0.6154806613922119
13,0.6154806613922119,0.8039950132369995,0.8102372288703918,0.6154806613922119
14,0.6154806613922119,0.8052434325218201,0.8102372288703918,0.6154806613922119
15,0.6154806613922119,0.8139825463294983,0.807740330696106,0.6154806613922119
16,0.6154806613922119,0.8177278637886047,0.8052434325218201,0.6154806613922119
17,0.6154806613922119,0.8177278637886047,0.8102372288703918,0.6154806613922119
18,0.6154806613922119,0.8214731812477112,0.8102372288703918,0.6154806613922119
19,0.6154806613922119,0.8164793848991394,0.8089887499809265,0.6154806613922119
20,0.6167290806770325,0.8189762830734253,0.8114856481552124,0.6154806613922119
21,0.6916354298591614,0.8189762830734253,0.8152309656143188,0.6154806613922119
22,0.7602996230125427,0.8177278637886047,0.8164793848991394,0.6154806613922119
23,0.8039950132369995,0.8252184987068176,0.8252184987068176,0.6154806613922119
24,0.8177278637886047,0.8389512896537781,0.8277153372764587,0.6154806613922119
25,0.8177278637886047,0.8389512896537781,0.8302122354507446,0.6154806613922119
26,0.8289638161659241,0.8439450860023499,0.8252184987068176,0.6154806613922119
27,0.8214731812477112,0.8439450860023499,0.8252184987068176,0.6154806613922119
28,0.8227216005325317,0.8514357209205627,0.8264669179916382,0.6154806613922119
29,0.8252184987068176,0.8526841402053833,0.8264669179916382,0.6154806613922119
30,0.8264669179916382,0.8514357209205627,0.8264669179916382,0.6154806613922119
31,0.8377028703689575,0.8526841402053833,0.8264669179916382,0.6154806613922119
32,0.8339575529098511,0.8539325594902039,0.8277153372764587,0.6154806613922119
33,0.8339575529098511,0.8551810383796692,0.8302122354507446,0.6154806613922119
34,0.8389512896537781,0.8576778769493103,0.8339575529098511,0.6154806613922119
35,0.8377028703689575,0.8626716732978821,0.8352059721946716,0.6154806613922119
36,0.841448187828064,0.8714107275009155,0.8352059721946716,0.6154806613922119
37,0.846441924571991,0.8764045238494873,0.8377028703689575,0.6154806613922119
38,0.8451935052871704,0.8801498413085938,0.8401997685432434,0.6154806613922119
39,0.8501872420310974,0.8838951587677002,0.8451935052871704,0.6154806613922119
40,0.8564294576644897,0.8851435780525208,0.8451935052871704,0.6154806613922119
