Epoch,ScalVis_GausVisS:1.0_RecL10N1024VS0.75loss,ScalVis_GausVisS:1.0_RecL10N1024VS0.5loss,ScalVis_GausVisS:1.0_RecL10N1024VS0.25loss,ScalVis_GausVisS:1.0_RecL10N1024VS0.1loss,ScalVis_GausVisS:1.0_RecL10N1024VS0.95loss
111,0.21681144833564758,0.2950698733329773,0.3140805661678314,0.3009280562400818,0.03502284362912178
112,0.21852384507656097,0.29410821199417114,0.3130760192871094,0.3076501786708832,0.034782763570547104
113,0.2157643735408783,0.2889919579029083,0.3105631172657013,0.2994316816329956,0.034554146230220795
114,0.21627262234687805,0.2907041013240814,0.30838537216186523,0.2997359037399292,0.034364890307188034
115,0.21257764101028442,0.28796812891960144,0.30838483572006226,0.3024064600467682,0.034216154366731644
116,0.2133118212223053,0.2850819528102875,0.30439692735671997,0.2955213189125061,0.034082211554050446
117,0.2125268429517746,0.28579646348953247,0.30649828910827637,0.29492950439453125,0.03398197516798973
118,0.20865899324417114,0.28127530217170715,0.3022463321685791,0.29692888259887695,0.03392457589507103
119,0.20918764173984528,0.28269290924072266,0.2999533414840698,0.2930471897125244,0.03393333777785301
120,0.20816384255886078,0.27913838624954224,0.30170348286628723,0.2891654968261719,0.03413008153438568
