Epoch,ScalVis_GausVisS:1.0_RecL10N1024VS0.75val_accuracy,ScalVis_GausVisS:1.0_RecL10N1024VS0.5val_accuracy,ScalVis_GausVisS:1.0_RecL10N1024VS0.25val_accuracy,ScalVis_GausVisS:1.0_RecL10N1024VS0.1val_accuracy,ScalVis_GausVisS:1.0_RecL10N1024VS0.95val_accuracy
1,0.605381190776825,0.6233183741569519,0.6322869658470154,0.6222222447395325,0.6198347210884094
2,0.605381190776825,0.6233183741569519,0.6322869658470154,0.6222222447395325,0.6198347210884094
3,0.605381190776825,0.6233183741569519,0.6322869658470154,0.6222222447395325,0.6198347210884094
4,0.605381190776825,0.6233183741569519,0.6322869658470154,0.6222222447395325,0.6198347210884094
5,0.605381190776825,0.6233183741569519,0.6322869658470154,0.6222222447395325,0.6198347210884094
6,0.605381190776825,0.6233183741569519,0.6322869658470154,0.6222222447395325,0.6198347210884094
7,0.605381190776825,0.6233183741569519,0.6322869658470154,0.6222222447395325,0.6198347210884094
8,0.605381190776825,0.6233183741569519,0.6322869658470154,0.6222222447395325,0.6198347210884094
9,0.605381190776825,0.6233183741569519,0.6322869658470154,0.6222222447395325,0.6198347210884094
10,0.605381190776825,0.6233183741569519,0.6322869658470154,0.6222222447395325,0.6198347210884094
11,0.605381190776825,0.6233183741569519,0.6322869658470154,0.6222222447395325,0.6198347210884094
12,0.605381190776825,0.6233183741569519,0.6322869658470154,0.6222222447395325,0.6198347210884094
13,0.605381190776825,0.6233183741569519,0.6322869658470154,0.6222222447395325,0.6280992031097412
14,0.605381190776825,0.6233183741569519,0.6322869658470154,0.6222222447395325,0.639905571937561
15,0.605381190776825,0.6233183741569519,0.6322869658470154,0.6222222447395325,0.6824085116386414
16,0.605381190776825,0.634529173374176,0.6322869658470154,0.6222222447395325,0.7072018980979919
17,0.605381190776825,0.7713004350662231,0.6322869658470154,0.7777777910232544,0.7296339869499207
18,0.605381190776825,0.773542582988739,0.6322869658470154,0.7666666507720947,0.7414403557777405
19,0.6173393130302429,0.7757847309112549,0.7892376780509949,0.7777777910232544,0.7461629509925842
20,0.7085201740264893,0.7757847309112549,0.7892376780509949,0.7777777910232544,0.763872504234314
21,0.7802690863609314,0.7757847309112549,0.7892376780509949,0.7777777910232544,0.767414391040802
22,0.7802690863609314,0.7757847309112549,0.7892376780509949,0.7777777910232544,0.762691855430603
23,0.7802690863609314,0.7757847309112549,0.7892376780509949,0.7777777910232544,0.7426210045814514
24,0.7802690863609314,0.7757847309112549,0.7892376780509949,0.7777777910232544,0.7319952845573425
25,0.7802690863609314,0.7802690863609314,0.7892376780509949,0.7555555701255798,0.7249114513397217
26,0.7802690863609314,0.786995530128479,0.7892376780509949,0.7888888716697693,0.7402597665786743
