Epoch,CatVis_ProcWithVis_RecL10N1024accuracy,CatVis_ProcWithVis_RecL5N2048accuracy,CatVis_ProcWithVis_RecL2N4096accuracy,CatVis_ProcWithVis_RecL20N512accuracy
1,0.6142321825027466,0.387016236782074,0.3620474338531494,0.3845193386077881
2,0.6154806613922119,0.6154806613922119,0.6254681944847107,0.6154806613922119
3,0.6154806613922119,0.6154806613922119,0.617977499961853,0.6154806613922119
4,0.6154806613922119,0.6154806613922119,0.6267166137695312,0.6154806613922119
5,0.6154806613922119,0.6154806613922119,0.641697883605957,0.6154806613922119
6,0.6154806613922119,0.6154806613922119,0.6716604232788086,0.6154806613922119
7,0.6154806613922119,0.6154806613922119,0.6878901124000549,0.6154806613922119
8,0.6154806613922119,0.6192259788513184,0.7116104960441589,0.6154806613922119
9,0.6154806613922119,0.6516854166984558,0.732833981513977,0.6154806613922119
10,0.6154806613922119,0.6978776454925537,0.7465667724609375,0.6154806613922119
11,0.6154806613922119,0.7303370833396912,0.7677902579307556,0.6154806613922119
12,0.6154806613922119,0.7640449404716492,0.7815231084823608,0.6154806613922119
13,0.6154806613922119,0.8014981150627136,0.7940074801445007,0.6154806613922119
14,0.6154806613922119,0.8114856481552124,0.8014981150627136,0.6154806613922119
15,0.6154806613922119,0.807740330696106,0.8139825463294983,0.6154806613922119
16,0.6154806613922119,0.8114856481552124,0.8052434325218201,0.6154806613922119
17,0.6154806613922119,0.8152309656143188,0.8052434325218201,0.6154806613922119
18,0.6154806613922119,0.8189762830734253,0.8052434325218201,0.6154806613922119
19,0.6654182076454163,0.8152309656143188,0.812734067440033,0.6154806613922119
20,0.7278401851654053,0.8164793848991394,0.812734067440033,0.6154806613922119
21,0.7815231084823608,0.8202247023582458,0.8164793848991394,0.6154806613922119
22,0.802746593952179,0.8139825463294983,0.8177278637886047,0.6154806613922119
23,0.8202247023582458,0.8214731812477112,0.8252184987068176,0.6154806613922119
24,0.8339575529098511,0.8227216005325317,0.8264669179916382,0.6154806613922119
25,0.8377028703689575,0.8389512896537781,0.8252184987068176,0.6154806613922119
26,0.8302122354507446,0.8489388227462769,0.8289638161659241,0.6154806613922119
27,0.8327091336250305,0.8489388227462769,0.8239700198173523,0.6154806613922119
28,0.8289638161659241,0.8476904034614563,0.8252184987068176,0.6154806613922119
29,0.8314606547355652,0.846441924571991,0.8264669179916382,0.6154806613922119
30,0.841448187828064,0.8501872420310974,0.8289638161659241,0.6154806613922119
31,0.8451935052871704,0.8539325594902039,0.8289638161659241,0.6154806613922119
32,0.846441924571991,0.8626716732978821,0.8277153372764587,0.6154806613922119
33,0.8451935052871704,0.8676654100418091,0.8302122354507446,0.6154806613922119
34,0.8401997685432434,0.870162308216095,0.8289638161659241,0.6154806613922119
35,0.8401997685432434,0.8676654100418091,0.8352059721946716,0.6154806613922119
36,0.8451935052871704,0.8689138293266296,0.8352059721946716,0.6154806613922119
37,0.8539325594902039,0.8764045238494873,0.836454451084137,0.6154806613922119
38,0.8551810383796692,0.8764045238494873,0.8377028703689575,0.6154806613922119
39,0.8614231944084167,0.8789013624191284,0.8401997685432434,0.6154806613922119
40,0.8626716732978821,0.8826466798782349,0.841448187828064,0.6154806613922119
