Epoch,ScalVis_GausCosS:1.0_RecL10N1024VS0.1accuracy,ScalVis_GausVisS:1.0_RecL10N1024VS0.1accuracy
1,0.3845193386077881,0.6154806613922119
2,0.709113597869873,0.6154806613922119
3,0.7478152513504028,0.6154806613922119
4,0.6841447949409485,0.6154806613922119
5,0.6516854166984558,0.6154806613922119
6,0.6304619312286377,0.6154806613922119
7,0.6154806613922119,0.6154806613922119
8,0.6154806613922119,0.6154806613922119
9,0.6154806613922119,0.6154806613922119
10,0.6154806613922119,0.6154806613922119
11,0.6154806613922119,0.6154806613922119
12,0.6154806613922119,0.6154806613922119
13,0.6154806613922119,0.6154806613922119
14,0.6154806613922119,0.6154806613922119
15,0.6154806613922119,0.6154806613922119
16,0.6154806613922119,0.6154806613922119
17,0.6154806613922119,0.6154806613922119
18,0.6154806613922119,0.6154806613922119
19,0.6154806613922119,0.6154806613922119
20,0.6154806613922119,0.6154806613922119
21,0.6154806613922119,0.6154806613922119
22,0.6154806613922119,0.6154806613922119
23,0.6154806613922119,0.6154806613922119
24,0.6154806613922119,0.6154806613922119
25,0.6154806613922119,0.6154806613922119
26,0.6154806613922119,0.6154806613922119
27,0.6154806613922119,0.6154806613922119
28,0.6154806613922119,0.6154806613922119
29,0.6154806613922119,0.6154806613922119
30,0.6192259788513184,0.6154806613922119
31,0.6267166137695312,0.6154806613922119
32,0.6329588294029236,0.6154806613922119
33,0.6392009854316711,0.6154806613922119
34,0.6554307341575623,0.6154806613922119
35,0.6604244709014893,0.6154806613922119
36,0.6841447949409485,0.6154806613922119
37,0.7178527116775513,0.6154806613922119
38,0.7303370833396912,0.6154806613922119
39,0.7540574073791504,0.6154806613922119
40,0.7852684259414673,0.6154806613922119
41,0.7902621626853943,0.6154806613922119
42,0.7890137434005737,0.6154806613922119
43,0.7890137434005737,0.6154806613922119
44,0.7890137434005737,0.6154806613922119
45,0.7890137434005737,0.6154806613922119
46,0.7890137434005737,0.6154806613922119
47,0.7890137434005737,0.6154806613922119
48,0.7902621626853943,0.6154806613922119
49,0.7902621626853943,0.6154806613922119
50,0.7915105819702148,0.6154806613922119
51,0.7902621626853943,0.6154806613922119
52,0.7915105819702148,0.6154806613922119
53,0.7940074801445007,0.6154806613922119
54,0.7977527976036072,0.6154806613922119
55,0.7990012764930725,0.6154806613922119
56,0.7990012764930725,0.6541822552680969
57,0.7977527976036072,0.7390761375427246
58,0.7977527976036072,0.7702871561050415
59,0.7990012764930725,0.7877652645111084
60,0.7990012764930725,0.7890137434005737
61,0.7990012764930725,0.7890137434005737
62,0.7990012764930725,0.7890137434005737
63,0.7990012764930725,0.7890137434005737
64,0.7990012764930725,0.7890137434005737
65,0.7990012764930725,0.7890137434005737
66,0.7990012764930725,0.7890137434005737
67,0.7990012764930725,0.7890137434005737
68,0.7990012764930725,0.7890137434005737
69,0.7977527976036072,0.7890137434005737
70,0.7977527976036072,0.7890137434005737
71,0.7977527976036072,0.7890137434005737
72,0.7977527976036072,0.7890137434005737
73,0.7977527976036072,0.7890137434005737
74,0.7977527976036072,0.7890137434005737
75,0.7977527976036072,0.7902621626853943
76,0.7990012764930725,0.7902621626853943
77,0.7965043783187866,0.7902621626853943
78,0.7952559590339661,0.7915105819702148
79,0.7940074801445007,0.7927590608596802
80,0.7940074801445007,0.7927590608596802
