Epoch,ScalVis_GausVisS:1.0_RecL10N1024loss,ScalVis_DataProcCombine_RecL10N1024loss,ScalVis_GaussAndOrigS:1.0_RecL10N1024loss,ScalVis_ProcWithVis_RecL10N1024loss
1,0.6904272437095642,0.6947528719902039,0.6918238997459412,0.6926537752151489
2,0.6811257600784302,0.6910392642021179,0.6822190284729004,0.6900511384010315
3,0.6723239421844482,0.6880967020988464,0.6737350225448608,0.6877162456512451
4,0.6623286604881287,0.6851168274879456,0.6643351316452026,0.6851855516433716
5,0.6507052779197693,0.6817207932472229,0.6533105373382568,0.6821631193161011
6,0.637147068977356,0.6776123046875,0.6403577923774719,0.6785938739776611
7,0.6218090653419495,0.6726311445236206,0.625603437423706,0.674340009689331
8,0.6053199768066406,0.6666033267974854,0.6093990802764893,0.6692936420440674
9,0.5888162851333618,0.6592685580253601,0.592699408531189,0.6633307933807373
10,0.5740666389465332,0.6504525542259216,0.5767165422439575,0.656360924243927
11,0.563086211681366,0.6401150226593018,0.5633524060249329,0.6482968926429749
12,0.5570635795593262,0.6282384395599365,0.5541048049926758,0.6391331553459167
13,0.5548323392868042,0.6148848533630371,0.5487473011016846,0.6288610100746155
14,0.5528237223625183,0.6002638936042786,0.5450466275215149,0.6175695061683655
15,0.548394501209259,0.5847370624542236,0.540553629398346,0.6054648756980896
16,0.541872501373291,0.5688838362693787,0.5344754457473755,0.5929254293441772
17,0.5355318188667297,0.5534760355949402,0.528128981590271,0.5803511738777161
18,0.5315121412277222,0.5392051935195923,0.5238012671470642,0.5680838227272034
19,0.5300415754318237,0.5264362096786499,0.5221771001815796,0.5562899112701416
20,0.5294087529182434,0.5151839256286621,0.5207212567329407,0.5449523329734802
21,0.5270078778266907,0.5053455829620361,0.5167081356048584,0.5343073606491089
22,0.5228288769721985,0.49672842025756836,0.5117515921592712,0.5247005820274353
23,0.5190282464027405,0.4896962642669678,0.5085887908935547,0.516473114490509
24,0.5169182419776917,0.48387381434440613,0.5064794421195984,0.5096192359924316
25,0.5156733393669128,0.47800713777542114,0.5029598474502563,0.5036974549293518
26,0.5137721300125122,0.47198840975761414,0.497996062040329,0.4984291195869446
27,0.5106521248817444,0.4658917188644409,0.4945862591266632,0.4935961365699768
28,0.5070887804031372,0.45900270342826843,0.49252745509147644,0.4891408085823059
29,0.5044925808906555,0.45214349031448364,0.48724693059921265,0.48485711216926575
30,0.5029345154762268,0.44577357172966003,0.4839634895324707,0.48050656914711
31,0.5000169277191162,0.4400021731853485,0.48154813051223755,0.47589558362960815
32,0.49567165970802307,0.43554258346557617,0.47709211707115173,0.47103554010391235
33,0.492519348859787,0.43132755160331726,0.47561249136924744,0.46615445613861084
34,0.48981863260269165,0.4267745018005371,0.4721657335758209,0.46160903573036194
35,0.4857074022293091,0.42114925384521484,0.47000521421432495,0.4577641189098358
36,0.4820544123649597,0.4143427312374115,0.46752941608428955,0.4547467827796936
37,0.4800584614276886,0.40718528628349304,0.4640471637248993,0.4523594379425049
38,0.47591572999954224,0.39975178241729736,0.46148109436035156,0.4501717686653137
39,0.4740508496761322,0.392931193113327,0.4575650990009308,0.4477110505104065
40,0.471234530210495,0.386779248714447,0.4544500708580017,0.44464099407196045
41,0.46872594952583313,0.38095200061798096,0.45078524947166443,0.44091832637786865
42,0.46610596776008606,0.3751051425933838,0.44733697175979614,0.4367062449455261
43,0.4631199538707733,0.36882856488227844,0.4443608224391937,0.43220168352127075
44,0.4598962366580963,0.3621341288089752,0.44034770131111145,0.42757612466812134
45,0.4568754732608795,0.35564255714416504,0.43775904178619385,0.42290037870407104
46,0.4532250761985779,0.3510253131389618,0.4335468113422394,0.41821545362472534
47,0.4506065547466278,0.3486277461051941,0.42960378527641296,0.4135505259037018
48,0.44682687520980835,0.34370625019073486,0.42668893933296204,0.4088945984840393
49,0.444130539894104,0.3337942659854889,0.4227578639984131,0.40419986844062805
