Epoch,CatVis_ProcWithVis_RecL5N2048,ScalVis_ProcWithVis_RecL5N2048
1,0.6222222447395325,0.6666666865348816
2,0.6222222447395325,0.6222222447395325
3,0.6222222447395325,0.6222222447395325
4,0.6222222447395325,0.6222222447395325
5,0.6222222447395325,0.6222222447395325
6,0.6222222447395325,0.6222222447395325
7,0.644444465637207,0.6333333253860474
8,0.6888889074325562,0.7111111283302307
9,0.699999988079071,0.7444444298744202
10,0.7777777910232544,0.7444444298744202
11,0.7888888716697693,0.800000011920929
12,0.8333333134651184,0.800000011920929
13,0.855555534362793,0.7666666507720947
14,0.8333333134651184,0.7777777910232544
15,0.8111110925674438,0.7777777910232544
16,0.800000011920929,0.7888888716697693
17,0.800000011920929,0.7888888716697693
18,0.800000011920929,0.800000011920929
19,0.800000011920929,0.8111110925674438
20,0.800000011920929,0.8111110925674438
21,0.8222222328186035,0.8111110925674438
22,0.8222222328186035,0.8222222328186035
23,0.8111110925674438,0.8222222328186035
24,0.8111110925674438,0.8222222328186035
25,0.8111110925674438,0.8111110925674438
26,0.800000011920929,0.8111110925674438
27,0.8111110925674438,0.8222222328186035
28,0.8111110925674438,0.8222222328186035
29,0.800000011920929,0.8444444537162781
30,0.800000011920929,0.8444444537162781
31,0.800000011920929,0.8444444537162781
32,0.800000011920929,0.8444444537162781
33,0.800000011920929,0.8333333134651184
34,0.800000011920929,0.8333333134651184
35,0.800000011920929,0.8333333134651184
36,0.800000011920929,0.8333333134651184
37,0.8111110925674438,0.8444444537162781
38,0.8111110925674438,0.8444444537162781
39,0.8111110925674438,0.8444444537162781
40,0.8111110925674438,0.8444444537162781
