Epoch,CatVis_ProcWithVis_RecL5N2048,ScalVis_ProcWithVis_RecL5N2048
1,0.39950063824653625,0.3845193386077881
2,0.6154806613922119,0.6516854166984558
3,0.6154806613922119,0.6167290806770325
4,0.6154806613922119,0.6154806613922119
5,0.6154806613922119,0.6154806613922119
6,0.6154806613922119,0.617977499961853
7,0.6154806613922119,0.6267166137695312
8,0.6279650330543518,0.6392009854316711
9,0.6641697883605957,0.6841447949409485
10,0.6978776454925537,0.7016229629516602
11,0.7315855026245117,0.7203495502471924
12,0.7727839946746826,0.7390761375427246
13,0.7927590608596802,0.7752808928489685
14,0.8189762830734253,0.7815231084823608
15,0.812734067440033,0.7927590608596802
16,0.812734067440033,0.7915105819702148
17,0.8189762830734253,0.7952559590339661
18,0.8177278637886047,0.8002496957778931
19,0.8189762830734253,0.802746593952179
20,0.8227216005325317,0.8064919114112854
21,0.8214731812477112,0.8052434325218201
22,0.8164793848991394,0.8064919114112854
23,0.8227216005325317,0.8064919114112854
24,0.8227216005325317,0.8014981150627136
25,0.8314606547355652,0.8052434325218201
26,0.841448187828064,0.8052434325218201
27,0.8451935052871704,0.8064919114112854
28,0.846441924571991,0.8102372288703918
29,0.8476904034614563,0.8164793848991394
30,0.8539325594902039,0.8202247023582458
31,0.8589263558387756,0.8252184987068176
32,0.8601747751235962,0.8214731812477112
33,0.8614231944084167,0.8252184987068176
34,0.8639200925827026,0.8289638161659241
35,0.870162308216095,0.8339575529098511
36,0.870162308216095,0.8327091336250305
37,0.875156044960022,0.836454451084137
38,0.8813982605934143,0.8389512896537781
39,0.8813982605934143,0.8401997685432434
40,0.8838951587677002,0.8426966071128845
