Epoch,ScalVis_GausCosS:1.0_RecL10N1024VS0.1val_loss,ScalVis_GausVisS:1.0_RecL10N1024VS0.1val_loss
1,0.6900109052658081,0.6872230768203735
2,0.6846240162849426,0.6846869587898254
3,0.6797372102737427,0.6823066473007202
4,0.6754610538482666,0.6800416111946106
5,0.6714548468589783,0.6778613328933716
6,0.667575478553772,0.6756801009178162
7,0.6637728214263916,0.6733905673027039
8,0.6599351763725281,0.6710290312767029
9,0.6560258865356445,0.66859370470047
10,0.6519729495048523,0.666053295135498
11,0.6477993726730347,0.6634082198143005
12,0.6434911489486694,0.660676896572113
13,0.6390588283538818,0.6578418016433716
14,0.634520411491394,0.6548949480056763
15,0.6298846006393433,0.6518269777297974
16,0.6251460313796997,0.6486409306526184
17,0.6202909350395203,0.6453243494033813
18,0.6153231263160706,0.6418677568435669
19,0.6102591753005981,0.6382747888565063
20,0.6051138639450073,0.6345392465591431
21,0.5998833775520325,0.6306775808334351
22,0.5946335792541504,0.6266849637031555
23,0.5893707871437073,0.6225579380989075
24,0.5841035842895508,0.6182954907417297
25,0.5788843035697937,0.6139105558395386
26,0.5737296938896179,0.6094147562980652
27,0.5686768293380737,0.6048263311386108
28,0.5637268424034119,0.6001500487327576
29,0.5589147210121155,0.5954061150550842
30,0.5542544722557068,0.5906122326850891
31,0.5497598052024841,0.5857938528060913
32,0.5454488396644592,0.5809924006462097
33,0.5413042902946472,0.5762395262718201
34,0.5373493432998657,0.571557879447937
35,0.533551037311554,0.5669912695884705
36,0.5299224257469177,0.562577486038208
37,0.5264602303504944,0.5583532452583313
38,0.5231749415397644,0.5543490648269653
39,0.5201054811477661,0.5505892634391785
40,0.517239511013031,0.5471029281616211
41,0.5145733952522278,0.5439055562019348
42,0.5120989680290222,0.5410081744194031
43,0.5098196268081665,0.5384188890457153
44,0.5076868534088135,0.5361446142196655
45,0.5057146549224854,0.5341660976409912
46,0.503915011882782,0.5324698686599731
47,0.5023095607757568,0.5310331583023071
48,0.5008901953697205,0.5298217535018921
49,0.4996318519115448,0.5288003087043762
50,0.49854576587677,0.5279432535171509
51,0.49759480357170105,0.5272032618522644
52,0.49679604172706604,0.5265641808509827
53,0.496141642332077,0.5259796977043152
54,0.4956245422363281,0.5254243612289429
55,0.49520987272262573,0.5248537659645081
56,0.49484723806381226,0.5242707133293152
57,0.49451085925102234,0.5236648321151733
58,0.49418723583221436,0.5230268836021423
59,0.49382227659225464,0.5223463773727417
60,0.493374764919281,0.5216327905654907
61,0.49280837178230286,0.5208936333656311
62,0.49208131432533264,0.5201513767242432
63,0.4911488890647888,0.5194150805473328
64,0.4900130331516266,0.5187001824378967
65,0.48867857456207275,0.5179991722106934
66,0.4871269762516022,0.5173112154006958
67,0.4854067862033844,0.5166441798210144
68,0.4835510551929474,0.5159978866577148
69,0.4816119372844696,0.5153695344924927
70,0.4796053171157837,0.5147543549537659
71,0.47757411003112793,0.5141425132751465
72,0.475521981716156,0.513540506362915
73,0.47345083951950073,0.5129432082176208
74,0.4714471995830536,0.5123555064201355
75,0.4694904685020447,0.5117899179458618
76,0.467540442943573,0.5112419724464417
77,0.4655579924583435,0.5106944441795349
78,0.46355345845222473,0.5101441144943237
79,0.46156182885169983,0.5095861554145813
80,0.4596248269081116,0.5090126991271973
81,0.4577576518058777,0.5084435939788818
82,0.45595189929008484,0.5078673958778381
83,0.4541296362876892,0.507291853427887
84,0.45228275656700134,0.5067247748374939
85,0.4504266083240509,0.5061691403388977
86,0.448575496673584,0.50563645362854
87,0.4467447102069855,0.5051243901252747
